%  columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=1068068, Thu Aug 17 17:07:08 2017
55 660 -0.19116756471 -1.0338356187e-05 9.49414312152e-05 0.240569785288 0.713018525504 0.767968520763 0.799908724316 0.805432164439 0.851158225117 0.864769575857 0.882450512609 0.905386275098 0.929917995849 0.951022343331 0.975593681719 0.980765417627 1.01084474371 1.01701957843 1.03475466565 1.05625948091 1.12672607884 1.19655830235 1.2808398171 1.50840575822
56 672 -0.203552879855 -0.000818562602143 0.00204174037043 0.241970498488 0.715482022423 0.766400241404 0.790823899018 0.808487081773 0.838922122381 0.859171673731 0.881885037454 0.915737048301 0.928895449911 0.951262715399 0.978402146641 0.989355171048 1.01451589545 1.01834376928 1.03770394354 1.08147033645 1.12325060376 1.20404942626 1.27737377524 1.48451128897
57 684 -0.203374813056 -0.00430334168176 0.000451847665745 0.239105181299 0.715482022423 0.766400241404 0.790823899018 0.808487081773 0.838922122381 0.859171673731 0.881885037454 0.915737048301 0.928895449911 0.951262715399 0.978402146641 0.989355171048 1.01451589545 1.01834376928 1.03770394354 1.08147033645 1.12325060376 1.20404942626 1.27737377524 1.48451128897
58 696 -0.20241173322 -0.000521971139845 0.000298377785762 0.252885616477 0.717406726053 0.76620074339 0.793615809164 0.801587432411 0.830000309574 0.855136564153 0.883903601529 0.917250093518 0.932243639491 0.944171980812 0.984581586681 0.990475036976 1.00781952497 1.0144298771 1.04086154956 1.071115015 1.13206533541 1.21787676892 1.29794648951 1.4653372979
59 708 -0.217301460808 -0.00125390300249 0.000274551834159 0.254378750694 0.717406726053 0.76620074339 0.793615809164 0.801587432411 0.830000309574 0.855136564153 0.883903601529 0.917250093518 0.932243639491 0.944171980812 0.984581586681 0.990475036976 1.00781952497 1.0144298771 1.04086154956 1.071115015 1.13206533541 1.21787676892 1.29794648951 1.4653372979
60 720 -0.21826073222 -0.000589954285828 0.000506135837971 0.250928649133 0.713788060604 0.763451666657 0.784108998631 0.789339408714 0.820802908338 0.854739203431 0.886364410873 0.913677279292 0.933229641029 0.941399101252 0.984117392318 0.990223725938 1.00792243165 1.01360802392 1.03352702352 1.07891255589 1.15281692513 1.24163220426 1.29715782202 1.45259939379
61 732 -0.226561989734 -6.68793937516e-05 0.000243032795772 0.258639751898 0.713788060604 0.763451666657 0.784108998631 0.789339408714 0.820802908338 0.854739203431 0.886364410873 0.913677279292 0.933229641029 0.941399101252 0.984117392318 0.990223725938 1.00792243165 1.01360802392 1.03352702352 1.07891255589 1.15281692513 1.24163220426 1.29715782202 1.45259939379
62 744 -0.228837415786 -0.000407422859303 0.000757836838862 0.277849477049 0.698313910773 0.757157610704 0.78681704071 0.792364908626 0.80642345957 0.85222784136 0.880077557754 0.916146141108 0.918285751886 0.94625381086 0.981988741454 0.993172252625 1.00717891801 1.02579268449 1.04083034622 1.08973034226 1.15711273247 1.25522256786 1.31070439504 1.4291248575
63 756 -0.232586541747 -0.000281892876558 0.000694532626295 0.272962197637 0.698313910773 0.757157610704 0.78681704071 0.792364908626 0.80642345957 0.85222784136 0.880077557754 0.916146141108 0.918285751886 0.94625381086 0.981988741454 0.993172252625 1.00717891801 1.02579268449 1.04083034622 1.08973034226 1.15711273247 1.25522256786 1.31070439504 1.4291248575
64 768 -0.245502831888 -0.00181030299382 0.000428019716599 0.27318257669 0.686386011573 0.752112976832 0.791889529513 0.793757673947 0.806179705708 0.857979838088 0.874548678985 0.910218951813 0.920917458188 0.93451158757 0.975018056766 0.981552412203 1.00808105153 1.02604617005 1.05895926283 1.08779370083 1.15820877919 1.28036908462 1.31023561473 1.42125537011
65 780 -0.269408577842 -0.00051753120862 0.000184842855424 0.280545270607 0.686386011573 0.752112976832 0.791889529513 0.793757673947 0.806179705708 0.857979838088 0.874548678985 0.910218951813 0.920917458188 0.93451158757 0.975018056766 0.981552412203 1.00808105153 1.02604617005 1.05895926283 1.08779370083 1.15820877919 1.28036908462 1.31023561473 1.42125537011
66 792 -0.275561497578 -0.000103023270181 0.000142873530032 0.280075165243 0.671757939424 0.735145110506 0.787504943924 0.799186045384 0.807189610255 0.853417791343 0.881527876306 0.898442104881 0.921190098213 0.922340342652 0.965796552206 0.982634664095 1.00866414299 1.02076316774 1.06342233877 1.08598124539 1.1650208834 1.30834424171 1.32061743125 1.4159750507
67 804 -0.291985074986 -0.000515774175382 0.000294512045218 0.280879433423 0.671757939424 0.735145110506 0.787504943924 0.799186045384 0.807189610255 0.853417791343 0.881527876306 0.898442104881 0.921190098213 0.922340342652 0.965796552206 0.982634664095 1.00866414299 1.02076316774 1.06342233877 1.08598124539 1.1650208834 1.30834424171 1.32061743125 1.4159750507
68 816 -0.297269488704 -0.00358785877791 0.000145655056644 0.274574302799 0.640361569709 0.725236982436 0.771392637753 0.796937623543 0.817990504893 0.847928502394 0.881968653269 0.895784686628 0.921173169315 0.92401047915 0.958527736121 0.987754495948 1.00799348411 1.03408388334 1.06657997149 1.08043653553 1.16685595067 1.31042850946 1.33927833896 1.41628877706
69 828 -0.314754917558 -0.000337979720001 0.00328230998145 0.268841878212 0.640361569709 0.725236982436 0.771392637753 0.796937623543 0.817990504893 0.847928502394 0.881968653269 0.895784686628 0.921173169315 0.92401047915 0.958527736121 0.987754495948 1.00799348411 1.03408388334 1.06657997149 1.08043653553 1.16685595067 1.31042850946 1.33927833896 1.41628877706
70 840 -0.320417931196 -4.83683834584e-05 0.000457251030675 0.26697136301 0.62900185206 0.708728383442 0.771054794635 0.788512748083 0.817884915429 0.838861449927 0.881764904808 0.907080024959 0.911781981104 0.925383320747 0.952931446735 0.995183827329 1.00803997178 1.02899930797 1.07323000496 1.07837954635 1.16482052532 1.31171093721 1.33738205655 1.43910138431
71 852 -0.321686370606 -0.00141580835238 0.000742860569653 0.250504148142 0.62900185206 0.708728383442 0.771054794635 0.788512748083 0.817884915429 0.838861449927 0.881764904808 0.907080024959 0.911781981104 0.925383320747 0.952931446735 0.995183827329 1.00803997178 1.02899930797 1.07323000496 1.07837954635 1.16482052532 1.31171093721 1.33738205655 1.43910138431
72 864 -0.31804155422 -0.000375062040531 0.000585608436766 0.247994390871 0.623710169717 0.705399476174 0.776278357523 0.778859335829 0.807346416586 0.831229848225 0.873917428177 0.894667915033 0.907366763972 0.929688097068 0.975789581649 0.984499610751 1.01352943628 1.03070468178 1.07256601039 1.07501986811 1.17060418729 1.32044412617 1.33676748815 1.44627819463
73 876 -0.31362702061 -0.000781432171951 0.00147266273851 0.250292402112 0.623710169717 0.705399476174 0.776278357523 0.778859335829 0.807346416586 0.831229848225 0.873917428177 0.894667915033 0.907366763972 0.929688097068 0.975789581649 0.984499610751 1.01352943628 1.03070468178 1.07256601039 1.07501986811 1.17060418729 1.32044412617 1.33676748815 1.44627819463
